Species_Abb,FIN_name,SWE_name,ENG_name,Sci_name,Record_count
ANTRIC/ANTGOD/ANTCAM,isokirvinen / mongoliankirvinen / nummikirvinen,större piplärka / mongolpiplärka / fältpiplärka,Richard's / Blyth's / Tawny Pipit,Anthus richardi / Anthus godlewskii / Anthus campestris,4
ANTCAM,nummikirvinen,fältpiplärka,Tawny Pipit,Anthus campestris,15
CRECRE,ruisrääkkä,kornknarr,Corn Crake,Crex crex,25
PASMON,pikkuvarpunen,pilfink,Eurasian Tree Sparrow,Passer montanus,825
PHYINO,taigauunilintu,tajgasångare,Yellow-browed Warbler,Phylloscopus inornatus,59
CHAMOR,keräkurmitsa,fjällpipare,Eurasian Dotterel,Charadrius morinellus,8
ANTRIC,isokirvinen,större piplärka,Richard's Pipit,Anthus richardi,45
AQUCLA,kiljukotka,större skrikörn,Greater Spotted Eagle,Aquila clanga,14
TUREUN,ruostesiipirastas,bruntrast,Dusky Thrush,Turdus eunomus,1
EMBPUS,pikkusirkku,dvärgsparv,Little Bunting,Emberiza pusilla,19
PPL,pieni pikkulintu,liten småfågel,Unidentified Small Songbird,PPL (pieni pikkulintu),1
CYGCOL,pikkujoutsen,mindre sångsvan,Tundra Swan,Cygnus columbianus,156
CARRIS,vuorihemppo,vinterhämpling,Twite,Carduelis flavirostris,82
CIRSP,suohaukkalaji,Circus (släktet),Unidentified Harrier species,Circus sp,5
MILMIG,haarahaukka,brun glada,Black Kite,Milvus migrans,66
MOTCIN,virtavästäräkki,forsärla,Grey Wagtail,Motacilla cinerea,54
LOCFLU,viitasirkkalintu,flodsångare,River Warbler,Locustella fluviatilis,23
FALVES,punajalkahaukka,aftonfalk,Red-footed Falcon,Falco vespertinus,27
PHYBOR,lapinuunilintu,nordsångare,Arctic Warbler,Phylloscopus borealis,1
SITEUR,pähkinänakkeli,nötväcka,Eurasian Nuthatch,Sitta europaea,256
PHYPRO,hippiäisuunilintu,kungsfågelsångare,Pallas's Leaf Warbler,Phylloscopus proregulus,46
DENLEU,valkoselkätikka,vitryggig hackspett,White-backed Woodpecker,Dendrocopos leucotos,124
STEPOM,leveäpyrstökihu,bredstjärtad labb,Pomarine Skua,Stercorarius pomarinus,49
FALPER,muuttohaukka,pilgrimsfalk,Peregrine Falcon,Falco peregrinus,559
TETBON,pyy,järpe,Hazel Grouse,Tetrastes bonasia,13
ANSBRA,lyhytnokkahanhi,spetsbergsgås,Pink-footed Goose,Anser brachyrhynchus,13
HAL/AQU,kotkalaji,ob. örn,Unidentified Eagle,Haliaetus / Aquila,14
CINCIN,koskikara,strömstare,White-throated Dipper,Cinclus cinclus,36
ALCATT,kuningaskalastaja,kungsfiskare,Common Kingfisher,Alcedo atthis,3
FALRUS,tunturihaukka,jaktfalk,Gyrfalcon,Falco rusticolus,9
STRNEB,lapinpöllö,lappuggla,Great Grey Owl,Strix nebulosa,3
IFAL,iso jalohaukka,stor falk,Unidentified Large Falcon,magnus Falco,6
ACRARU,rastaskerttunen,trastsångare,Great Reed Warbler,Acrocephalus arundinaceus,6
GALCHL,liejukana,rörhöna,Common Moorhen,Gallinula chloropus,4
AQUSP,kotkalaji (Aquila),Aquila (släktet),Unidentified Aquila,Aquila sp,4
BOTSTE,kaulushaikara,rördrom,Eurasian Bittern,Botaurus stellaris,30
COTCOT,viiriäinen,vaktel,Common Quail,Coturnix coturnix,4
STELON,tunturikihu,fjällabb,Long-tailed Jaeger,Stercorarius longicaudus,20
STERNSP,tiiralaji (Sterna),Sterna (släktet),Unidentified Tern,Sterna sp,1
PODSP,uikkulaji,Podiceps (släktet),Unidentified Grebe species,Podiceps sp,3
IPL,iso pikkulintu,stor småfågel,Unidentified Large Songbird,IPL (iso pikkulintu),3
GAVADA,jääkuikka,vitnäbbad islom,Yellow-billed Loon,Gavia adamsii,23
FALSP,jalohaukkalaji,Falco (släktet),Unidentified Falcon,Falco sp,7
MOTSP,västäräkkilaji,Motacilla (släktet),Unidentified Wagtail,Motacilla sp,13
GALSP,taivaanvuohilaji,Gallinago (släktet),Unidentified Snipe,Gallinago sp,2
PHYFUS,ruskouunilintu,brunsångare,Dusky Warbler,Phylloscopus fuscatus,8
REMPEN,pussitiainen,pungmes,Eurasian Penduline Tit,Remiz pendulinus,24
CORONEONE,nokivaris,kråka (rasen corone),Carrion Crow,Corvus corone corone,8
MERAPI,mehiläissyöjä,biätare,European Bee-eater,Merops apiaster,18
ANSCAE,lumihanhi,snögås,Snow Goose,Anser caerulescens,2
AQUPOM,pikkukiljukotka,mindre skrikörn,Lesser Spotted Eagle,Aquila pomarina,4
